County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,2773,432,970,875,06,073,000100
San Diego County,California,2158,642,633,503,06,073,000201
San Diego County,California,4828,2159,1197,509,06,073,000202
San Diego County,California,4946,2256,1289,858,06,073,000300
San Diego County,California,3916,2106,764,373,06,073,000400
San Diego County,California,2957,1373,725,400,06,073,000500
San Diego County,California,2921,1447,731,432,06,073,000600
San Diego County,California,4507,2310,1163,522,06,073,000700
San Diego County,California,4232,1745,1310,549,06,073,000800
San Diego County,California,5796,3138,1141,469,06,073,000900
San Diego County,California,5328,3187,1086,267,06,073,001000
San Diego County,California,3356,1673,787,225,06,073,001100
San Diego County,California,5983,2960,927,551,06,073,001200
San Diego County,California,6531,3089,1406,386,06,073,001300
San Diego County,California,3198,1586,761,246,06,073,001400
San Diego County,California,3894,1696,989,264,06,073,001500
San Diego County,California,5012,1834,1360,362,06,073,001600
San Diego County,California,4568,2189,1106,218,06,073,001700
San Diego County,California,5235,2026,1201,381,06,073,001800
San Diego County,California,3321,1350,1024,408,06,073,001900
San Diego County,California,3461,715,1229,881,06,073,002001
San Diego County,California,2656,1048,628,268,06,073,002002
San Diego County,California,4880,2281,1138,440,06,073,002100
San Diego County,California,3571,1195,682,47,06,073,002201
San Diego County,California,5333,1648,867,500,06,073,002202
San Diego County,California,3056,1101,636,190,06,073,002301
San Diego County,California,7468,2244,1666,489,06,073,002302
San Diego County,California,4758,1826,1127,160,06,073,002401
San Diego County,California,5107,1624,942,278,06,073,002402
San Diego County,California,6106,1651,1356,442,06,073,002501
San Diego County,California,6326,1743,1568,579,06,073,002502
San Diego County,California,5663,1856,1108,420,06,073,002601
San Diego County,California,4186,1271,888,155,06,073,002602
San Diego County,California,5972,2043,1173,544,06,073,002702
San Diego County,California,7390,2191,1739,623,06,073,002703
San Diego County,California,4757,1193,1286,574,06,073,002705
San Diego County,California,5602,1770,976,263,06,073,002707
San Diego County,California,5914,1749,1012,410,06,073,002708
San Diego County,California,3913,1243,748,172,06,073,002709
San Diego County,California,4524,1279,1033,360,06,073,002710
San Diego County,California,3396,1087,535,283,06,073,002711
San Diego County,California,4835,1419,1117,564,06,073,002712
San Diego County,California,3204,489,371,288,06,073,002801
San Diego County,California,5495,1922,1100,719,06,073,002803
San Diego County,California,5193,1142,946,368,06,073,002804
San Diego County,California,7176,2282,1464,619,06,073,002902
San Diego County,California,4125,1031,1095,464,06,073,002903
San Diego County,California,8445,1601,575,316,06,073,002904
San Diego County,California,4683,1450,1032,382,06,073,002905
San Diego County,California,4422,1229,884,587,06,073,003001
San Diego County,California,5151,1587,1238,559,06,073,003003
San Diego County,California,5116,1569,1131,315,06,073,003004
San Diego County,California,3846,1186,1053,466,06,073,003101
San Diego County,California,6559,1684,1719,950,06,073,003103
San Diego County,California,4373,1367,879,468,06,073,003105
San Diego County,California,6426,1961,1565,965,06,073,003107
San Diego County,California,3881,1111,838,358,06,073,003108
San Diego County,California,3373,1007,990,533,06,073,003109
San Diego County,California,7220,1710,1617,672,06,073,003111
San Diego County,California,4578,981,1425,461,06,073,003112
San Diego County,California,5635,1926,1415,922,06,073,003113
San Diego County,California,3768,937,1093,518,06,073,003114
San Diego County,California,7067,1747,1589,999,06,073,003115
San Diego County,California,5421,1522,1131,435,06,073,003201
San Diego County,California,4713,1294,1216,602,06,073,003202
San Diego County,California,3719,1034,885,658,06,073,003204
San Diego County,California,6506,1933,1426,922,06,073,003207
San Diego County,California,6841,1711,1931,665,06,073,003208
San Diego County,California,5421,1479,1405,427,06,073,003209
San Diego County,California,3496,965,823,561,06,073,003211
San Diego County,California,3715,807,976,768,06,073,003212
San Diego County,California,4448,1233,1322,638,06,073,003213
San Diego County,California,5278,1510,1354,550,06,073,003214
San Diego County,California,3440,1076,626,287,06,073,003301
San Diego County,California,4602,1503,768,363,06,073,003303
San Diego County,California,4312,1130,813,322,06,073,003304
San Diego County,California,5913,1462,1197,510,06,073,003305
San Diego County,California,6857,2298,1391,980,06,073,003401
San Diego County,California,3583,1060,832,284,06,073,003403
San Diego County,California,5209,1652,970,446,06,073,003404
San Diego County,California,5014,1415,901,302,06,073,003501
San Diego County,California,4880,1657,879,306,06,073,003502
San Diego County,California,2839,686,586,97,06,073,003601
